,연수명,내용,별점,등록일
0,유초등을 사로잡는 감동의 그림책 놀이수업,너무 유익한 강의였습니다. 감사합니다^^,rate5,2023.07.28
1,전문가가 알려주는 창의 영재교육의 비법,무엇보다도 빨리들을 수 있어 좋습니다,rate5,2023.07.28
2,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","제목을 보고 평소에 많이 들어본 것이라 어떻게 접목을 할 수 있을까 고민을 하다 들었는데, 역시 괜찮았어요..
추천합니다.",rate5,2023.07.27
3,수업과 성장을 돕는 과정중심평가_초등 기초,과정중심 평가에 대해 조금 더 알게되었어요,rate5,2023.07.27
4,조병영의 문해력 수업,"국어 교과는 '국어' 과목 뿐만 아니라 다른 교과에서도 쓰이는 학습 도구의 기능을 수행합니다. 그래서 문해력이 떨어지는 이 시대의 아이들에게 국어 교사의 역할은 막중한 것 같습니다. 저 또한 부진학생들을 가르쳐야하는 국어교사인데, 어떻게 가르쳐야 잘 가르치는 것인지 고민이 많았습니다. 이번 연수를 통해 제가 그 역할을 조금 더 잘 수행할 수 있기를 바랍니다",rate5,2023.07.27
5,유초등을 사로잡는 감동의 그림책 놀이수업,수업에 활용도가 많은 유익하고 좋은 즐거운 연수입니다. 감사합니다~,rate5,2023.07.27
6,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","생각보다 빠르게 격변하는 트렌트 환경에 잘 적응할 수 있게 도와주는 연수라 시기 적절하다고 생각한다.
다만 양이 다소 많아 깊이보단 이해에 초점을 두었던 점이 약간 아쉽다",rate3,2023.07.27
7,정재승의 미래학교,정재승 교수의 연수라서 오픈되자 마자 신청을 해서 아주 열심히 들었습니다. 너무나 유익하고 새로운 것을 알게 된 연수여서 주변 사람들에게 추천하고픈 연수네요.,rate5,2023.07.26
8,미래 인재를 위한 디지털 리터러시,용어가 쏙쏙 머리에 들어오네요.,rate5,2023.07.26
9,"학습격차, 차이를 넘어 함께 성장하기","기초학력 지도라고 해서 뻔한 내용의 연수일줄 알았는데
모든 챕터의 내용이 너무나 유익하고 알찼습니다.
기초학력(한글과 수)지도에 잘 활용하도록 하겠습니다",rate5,2023.07.25
